Date,Open,High,Low,Close,Volume,Adj Close
2012-12-07,157.660004,158.110001,157.240005,158.039993,37000,158.039993
2012-12-06,155.660004,157.259995,155.320007,157.179993,27700,157.179993
2012-12-05,155.539993,156.00,154.410004,155.600006,48400,155.600006
2012-12-04,155.990005,156.399994,155.279999,155.990005,17900,155.990005
2012-12-03,157.059998,158.339996,156.809998,157.990005,61300,157.990005
2012-11-30,158.50,158.919998,156.860001,157.440002,217600,157.440002
2012-11-29,159.160004,159.619995,158.289993,158.300003,82400,158.300003
2012-11-28,155.899994,158.600006,155.660004,157.839996,35600,157.839996
2012-11-27,158.479996,159.139999,158.330002,158.490005,32000,158.490005
2012-11-26,158.580002,158.779999,157.960007,158.679993,20600,158.679993
2012-11-23,156.199997,159.639999,156.199997,159.630005,48800,159.630005
2012-11-21,154.850006,155.50,154.550003,155.259995,19500,155.259995
2012-11-20,155.110001,155.699997,154.460007,154.690002,19300,154.690002
2012-11-19,155.149994,155.619995,154.75,155.25,31000,155.25
2012-11-16,152.839996,153.589996,152.330002,153.059998,84100,153.059998
2012-11-15,155.080002,155.080002,153.529999,154.330002,56300,154.330002
2012-11-14,155.899994,156.710007,155.649994,156.020004,56300,156.020004
2012-11-13,155.210007,156.160004,155.210007,155.699997,41100,155.699997
2012-11-12,154.029999,154.110001,153.339996,153.889999,14800,153.889999
2012-11-09,153.720001,154.419998,152.660004,153.169998,34000,153.169998
2012-11-08,151.460007,152.149994,150.639999,152.059998,35600,152.059998
2012-11-07,152.899994,152.929993,150.679993,151.509995,64900,151.509995
2012-11-06,151.779999,153.660004,151.139999,152.759995,274000,152.759995
2012-11-05,152.160004,152.160004,151.139999,151.809998,85400,151.809998
2012-11-02,153.100006,153.100006,151.800003,151.899994,44300,151.899994
2012-11-01,154.970001,155.119995,154.119995,154.330002,25600,154.330002
2012-10-31,154.220001,154.899994,154.080002,154.449997,24300,154.449997
2012-10-26,154.330002,154.330002,151.300003,152.080002,50000,152.080002
2012-10-25,154.679993,155.259995,153.839996,154.179993,33600,154.179993
2012-10-24,155.100006,155.199997,152.490005,153.020004,41800,153.020004
2012-10-23,155.460007,155.460007,154.259995,154.490005,127500,154.490005
2012-10-22,157.880005,158.440002,157.580002,158.080002,39600,158.080002
2012-10-19,160.729996,160.729996,158.289993,159.190002,58700,159.190002
2012-10-18,162.199997,162.559998,161.199997,161.199997,60500,161.199997
2012-10-17,162.699997,164.009995,162.580002,163.779999,78200,163.779999
2012-10-16,161.410004,162.00,161.279999,161.759995,45500,161.759995
2012-10-15,160.960007,161.320007,159.449997,161.149994,90100,161.149994
2012-10-12,164.220001,164.539993,162.509995,162.509995,221300,162.509995
2012-10-11,165.320007,166.179993,165.009995,165.199997,27300,165.199997
2012-10-10,164.220001,165.50,164.039993,164.50,42500,164.50
2012-10-09,166.850006,167.25,165.630005,166.020004,53000,166.020004
2012-10-08,165.690002,166.759995,165.660004,166.539993,33700,166.539993
2012-10-05,168.720001,169.270004,167.220001,167.589996,104800,167.589996
2012-10-04,167.589996,169.300003,167.479996,169.220001,60300,169.220001
2012-10-03,165.970001,166.240005,165.559998,166.160004,17900,166.160004
2012-10-02,165.50,165.759995,164.830002,165.070007,25500,165.070007
2012-10-01,164.710007,165.419998,164.539993,165.289993,65000,165.289993
2012-09-28,162.880005,163.869995,162.600006,163.380005,34100,163.380005
2012-09-27,162.580002,162.839996,161.520004,162.330002,21100,162.330002
2012-09-26,159.630005,160.960007,158.600006,160.679993,65800,160.679993
2012-09-25,160.559998,161.660004,160.00,160.119995,47100,160.119995
2012-09-24,158.660004,160.119995,158.50,159.639999,53300,159.639999
2012-09-21,161.630005,161.970001,160.479996,160.830002,54900,160.830002
2012-09-20,159.039993,160.160004,158.110001,159.910004,121000,159.910004
2012-09-19,160.630005,161.440002,160.100006,161.179993,75700,161.179993
2012-09-18,164.160004,165.00,159.179993,159.820007,485000,159.820007
2012-09-17,166.029999,167.130005,163.460007,163.699997,232500,163.699997
2012-09-14,167.449997,168.899994,167.389999,167.990005,76600,167.990005
2012-09-13,163.220001,166.160004,160.449997,165.660004,180800,165.660004
2012-09-12,162.139999,162.380005,160.600006,162.339996,112700,162.339996
2012-09-11,157.979996,158.539993,157.789993,157.889999,21300,157.889999
2012-09-10,157.990005,158.339996,156.470001,156.559998,85000,156.559998
2012-09-07,156.50,157.960007,156.50,156.809998,242500,156.809998
2012-09-06,155.979996,156.600006,155.610001,155.949997,92700,155.949997
2012-09-05,153.839996,155.110001,153.259995,154.580002,66400,154.580002
2012-09-04,153.279999,154.50,152.470001,154.339996,95100,154.339996
2012-08-31,149.50,151.520004,148.440002,151.520004,87800,151.520004
2012-08-30,150.039993,150.139999,147.940002,148.509995,67400,148.509995
2012-08-29,149.759995,149.929993,148.850006,149.199997,71600,149.199997
2012-08-28,149.929993,150.130005,149.199997,149.300003,92200,149.300003
2012-08-27,151.740005,152.919998,151.600006,151.779999,35200,151.779999
2012-08-24,152.809998,153.009995,151.240005,152.419998,85400,152.419998
2012-08-23,152.339996,153.699997,151.399994,151.600006,266700,151.600006
2012-08-22,150.169998,151.679993,149.350006,151.360001,177100,151.360001
2012-08-21,148.100006,148.699997,147.089996,148.300003,75500,148.300003
2012-08-20,144.460007,147.50,144.350006,146.979996,165000,146.979996
2012-08-17,143.809998,145.279999,143.179993,145.279999,354500,145.279999
2012-08-16,138.00,142.179993,137.660004,142.139999,353800,142.139999
2012-08-15,137.419998,137.860001,137.100006,137.309998,12700,137.309998
2012-08-14,137.889999,138.00,137.399994,137.440002,24200,137.440002
2012-08-13,137.639999,137.770004,136.509995,136.559998,27700,136.559998
2012-08-10,137.899994,138.399994,137.550003,137.979996,34500,137.979996
2012-08-09,138.869995,139.300003,138.559998,139.199997,14400,139.199997
2012-08-08,138.539993,138.869995,138.00,138.839996,16300,138.839996
2012-08-07,138.830002,139.199997,138.50,138.910004,42600,138.910004
2012-08-06,137.649994,138.320007,137.460007,138.210007,23700,138.210007
2012-08-03,137.110001,139.660004,137.00,138.070007,22700,138.070007
2012-08-02,136.919998,137.440002,136.199997,136.369995,38900,136.369995
2012-08-01,137.199997,138.270004,136.910004,137.740005,58500,137.740005
2012-07-31,140.649994,140.740005,139.399994,139.460007,29700,139.460007
2012-07-30,138.559998,139.779999,138.149994,139.50,23400,139.50
2012-07-27,139.089996,139.50,138.399994,139.020004,13500,139.020004
2012-07-26,139.080002,139.419998,138.059998,138.410004,27300,138.410004
2012-07-25,137.940002,138.289993,137.279999,137.779999,24800,137.779999
2012-07-24,137.509995,138.410004,135.800003,136.50,34300,136.50
2012-07-23,137.539993,138.00,137.220001,137.929993,21700,137.929993
2012-07-20,138.800003,139.470001,138.669998,139.380005,19600,139.380005
2012-07-19,139.350006,140.139999,139.240005,139.779999,41300,139.779999
2012-07-18,139.00,139.179993,138.139999,138.869995,43500,138.869995
2012-07-17,139.039993,139.949997,138.699997,139.360001,25800,139.360001
2012-07-16,139.160004,140.160004,139.160004,139.679993,12800,139.679993
2012-07-13,140.320007,141.270004,140.289993,140.699997,34900,140.699997
2012-07-12,137.979996,139.850006,137.979996,139.539993,16900,139.539993
2012-07-11,140.350006,141.119995,139.889999,140.419998,16500,140.419998
2012-07-10,142.899994,142.899994,140.00,140.199997,18700,140.199997
2012-07-09,142.029999,142.660004,141.940002,142.199997,30900,142.199997
2012-07-06,143.309998,143.820007,141.869995,142.089996,39500,142.089996
2012-07-05,144.699997,145.619995,144.360001,145.139999,36200,145.139999
2012-07-03,145.380005,146.460007,145.100006,146.460007,35100,146.460007
2012-07-02,141.970001,143.399994,141.740005,143.339996,47700,143.339996
2012-06-29,140.330002,142.800003,139.690002,142.660004,50500,142.660004
2012-06-28,138.009995,138.009995,136.179993,136.789993,52000,136.789993
2012-06-27,139.539993,139.889999,138.800003,138.880005,51400,138.880005
2012-06-26,141.380005,141.559998,140.410004,140.589996,10900,140.589996
