,Gold,PPLT,SLV
378,63.057961,131.410004,19.02
379,60.53408,130.119995,18.209999
380,59.800392,133.389999,18.42
381,60.631903,133.660004,18.57
382,59.379745,133.690002,18.48
383,66.403573,138.029999,19.49
384,64.809029,137.960007,19.209999
385,63.234046,139.380005,19.280001
386,67.508999,139.440002,19.33
387,65.904671,137.720001,18.66
388,65.689455,138.520004,18.719999
389,68.800288,139.559998,18.879999
390,72.028507,141.270004,19.77
391,72.68394,141.740005,19.77
392,70.169839,141.539993,19.469999
393,70.160055,141.460007,19.5
394,71.715468,139.759995,19.32
395,71.774168,140.970001,19.139999
396,71.314389,140.600006,19.030001
397,72.654586,140.490005,19.139999
398,71.069827,140.779999,18.969999
399,69.044851,141.550003,19.120001
400,69.719838,142.009995,19.01
401,65.288369,139.679993,18.83
402,64.769898,140.520004,18.83
403,68.87855,145.25,19.6
404,71.558952,146.649994,19.76
405,73.036111,146.389999,20.620001
406,72.948064,146.610001,20.709999
407,75.246949,147.259995,21.09
408,77.565403,149.009995,22.15
409,78.504522,149.320007,22.34
410,76.48933,147.429993,22.34
411,78.631691,148.559998,22.190001
412,75.775205,148.660004,22.139999
413,76.919755,150.639999,22.27
414,79.189293,150.360001,23.15
415,79.336032,151.369995,23.459999
416,77.066494,149.270004,23.59
417,76.381722,150.229996,23.43
418,77.604534,148.75,23.0
419,76.323022,148.619995,22.6
420,77.340402,150.300003,23.389999
421,78.289306,146.440002,22.690001
422,76.17629,145.220001,22.379999
423,76.205637,146.130005,22.969999
424,74.738263,145.0,22.84
425,71.83286,143.960007,22.129999
426,71.930684,144.149994,22.290001
427,68.399203,140.759995,21.059999
428,69.983969,141.820007,21.42
429,70.208963,140.270004,20.940001
430,71.999161,139.059998,20.959999
431,77.46758,143.660004,22.309999
432,75.188256,142.949997,22.200001
433,71.783945,139.839996,21.0
434,70.883957,139.0,20.780001
435,69.983969,139.559998,20.889999
436,71.060042,139.559998,20.98
437,70.541571,137.990005,20.92
438,70.169839,138.869995,20.959999
439,69.974185,137.320007,20.9
440,68.947027,135.619995,20.41
441,68.545941,135.990005,20.92
442,67.606823,134.339996,20.92
443,68.203556,135.800003,20.93
444,69.67093,137.149994,21.530001
445,67.939424,137.110001,21.49
446,67.597038,135.059998,21.049999
447,67.381822,135.529999,20.83
448,66.726397,134.080002,20.52
449,68.448118,134.699997,20.5
450,70.492656,135.350006,20.559999
451,67.958993,136.559998,20.5
452,70.50244,140.550003,21.049999
453,70.169839,140.529999,21.110001
454,71.118735,140.5,21.41
455,73.916529,141.720001,21.870001
456,71.421997,140.380005,21.75
457,73.994791,141.910004,21.870001
458,75.061087,142.199997,21.709999
459,76.479545,143.699997,21.68
460,74.356746,142.789993,21.690001
461,75.41325,144.029999,21.879999
462,72.292639,141.639999,21.1
463,69.925277,142.110001,21.08
464,72.048076,141.960007,20.85
465,71.920899,141.740005,20.9
466,72.644809,143.020004,21.0
467,75.559989,142.210007,20.83
468,75.012171,140.990005,20.690001
469,74.151314,139.899994,20.6
470,71.490475,139.960007,20.0
471,70.326355,140.190002,19.780001
472,71.901338,141.350006,20.049999
473,71.686121,140.660004,20.0
474,71.285043,137.860001,19.67
475,72.615463,138.570007,19.610001
476,69.905708,136.169998,19.139999
477,69.123113,136.130005,19.24
478,68.497026,135.229996,19.129999
479,67.704646,135.25,19.27
480,66.569881,134.259995,19.129999
481,67.479653,132.139999,18.959999
482,69.211151,133.479996,19.24
483,65.826409,131.020004,18.459999
484,64.16338,132.729996,18.42
485,65.904671,134.050003,19.0
486,64.222081,133.139999,18.690001
487,64.016649,132.820007,18.76
488,64.231865,134.399994,19.120001
489,66.481834,135.869995,19.66
490,63.879695,135.259995,19.549999
491,62.422101,132.949997,18.809999
492,62.686229,132.940002,18.950001
493,62.950353,132.940002,19.219999
494,62.490578,131.830002,19.139999
495,61.972104,130.779999,19.09
496,61.502544,128.809998,18.49
497,59.86887,130.240005,18.620001
498,60.426471,129.759995,18.719999
499,61.385156,130.320007,18.76
500,61.199289,132.449997,19.02
501,61.590587,134.479996,19.27
502,60.279733,132.820007,18.85
503,61.443852,133.889999,18.709999
504,63.820995,137.020004,19.23
505,62.0308,137.910004,19.42
506,60.54386,138.520004,19.42
507,60.788423,137.979996,19.129999
508,59.917781,138.289993,18.83
509,58.000413,138.360001,18.84
510,60.230821,140.240005,19.379999
511,62.314493,140.779999,19.68
512,61.473198,139.380005,19.42
513,60.925377,139.380005,19.4
514,62.578621,139.449997,19.35
515,63.899256,141.679993,19.51
516,66.520965,141.75,19.17
517,66.061187,142.050003,19.030001
518,67.900301,142.130005,19.26
519,68.585072,139.229996,19.16
520,66.315534,137.639999,18.889999
521,66.550312,137.690002,18.85
522,69.00572,137.929993,19.02
523,66.863351,134.770004,18.49
524,67.401391,134.270004,18.450001
525,70.091577,135.080002,18.610001
526,69.426368,134.149994,18.75
527,70.042662,134.820007,19.07
528,69.201367,134.429993,19.17
529,71.421997,135.020004,19.27
530,72.908933,135.320007,19.290001
531,75.403473,135.339996,19.450001
532,74.14153,137.330002,19.43
533,76.606715,138.149994,19.74
534,77.917573,139.5,20.65
535,78.621914,138.830002,21.129999
536,77.487141,138.160004,20.629999
537,79.003431,138.449997,21.0
538,79.15017,139.5,20.969999
539,79.365378,140.309998,21.18
540,78.661045,140.580002,21.02
541,78.700169,139.5,20.42
542,78.240398,141.649994,20.459999
